%time,field.stamp,field.reference_magenc,field.measure_magenc
1718603644261483402,1718603644258075979,3029,33353
1718603644357500693,1718603644359075979,3029,33351
1718603644457519914,1718603644460075979,3026,33357
1718603644558564324,1718603644561075979,2993,33288
1718603644660208154,1718603644662075979,2510,32314
1718603644761511392,1718603644763075979,2061,31433
1718603644862491310,1718603644864075979,1767,30898
1718603644962767184,1718603644965075979,1764,30888
1718603645064249794,1718603645066075979,1765,30882
1718603645165636334,1718603645167075979,1763,30878
1718603645266336843,1718603645268075979,1338,30104
1718603645467466456,1718603645470075979,677,28719
1718603645569288180,1718603645571075979,662,28687
1718603645670354825,1718603645672075979,659,28697
1718603645770972196,1718603645773075979,660,28674
1718603645872064798,1718603645874075979,659,28681
1718603645972610980,1718603645975075979,243,27552
1718603646074208444,1718603646076075979,16208,26085
1718603646175653681,1718603646177075979,16014,25206
1718603646276170354,1718603646278075979,15889,24582
1718603646377339299,1718603646379075979,15889,24578
1718603646584562572,1718603646581075979,15891,24575
1718603646680145993,1718603646682075979,15753,23799
1718603646781428161,1718603646783075979,15272,20445
1718603646881541167,1718603646884075979,14922,17389
1718603646982639597,1718603646985075979,14740,15687
1718603647084446159,1718603647086075979,14736,15639
1718603647184991266,1718603647187075979,14736,15635
1718603647286444652,1718603647288075979,14735,15640
1718603647386521304,1718603647389075979,14728,15557
1718603647487207906,1718603647490075979,14333,12022
1718603647589054818,1718603647591075979,13928,9039
1718603647790577840,1718603647793075979,13520,6822
1718603647892048604,1718603647894075979,13521,6818
1718603647992799388,1718603647995075979,13520,6816
1718603648094302925,1718603648096075979,13523,6815
1718603648195341773,1718603648197075979,13186,5442
1718603648296194441,1718603648298075979,12703,3970
1718603648396596226,1718603648399075979,12425,3299
1718603648498604830,1718603648500075979,12393,3217
1718603648599710557,1718603648601075979,12391,3224
1718603648700370278,1718603648702075979,12390,3225
1718603648907085083,1718603648904075979,11930,2284
1718603649002639164,1718603649005075979,11412,1305
1718603649104164722,1718603649106075979,11036,594
1718603649205273555,1718603649205922224,11025,549
1718603649306508725,1718603649306922224,11022,546
1718603649406499318,1718603649407922224,11022,549
1718603649507645059,1718603649508922224,10938,375
1718603649609162608,1718603649609922224,10417,64843
1718603649709667731,1718603649710922224,9968,63927
1718603649811852857,1718603649811922224,9853,63692
1718603649911974074,1718603649912922224,9849,63708
1718603650114102694,1718603650114922224,9852,63694
1718603650214301991,1718603650215922224,9557,63118
1718603650316187960,1718603650316922224,9054,62075
1718603650416321542,1718603650417922224,8770,61446
1718603650516934016,1718603650518922224,8771,61424
1718603650618636091,1718603650619922224,8772,61440
1718603650719449494,1718603650720922224,8774,61441
1718603650819856583,1718603650821922224,8622,61048
1718603650921464235,1718603650922922224,7986,59005
1718603651022655346,1718603651023922224,7529,56892
1718603651230346916,1718603651225922224,7512,56816
1718603651326266931,1718603651326922224,7513,56806
1718603651426928038,1718603651427922224,7416,56234
1718603651528035754,1718603651528922224,6692,50441
1718603651628989489,1718603651629922224,6186,45442
1718603651730356154,1718603651731412508,6096,44671
1718603651830149920,1718603651832412508,6094,44638
1718603651931218766,1718603651933412508,6094,44632
1718603652032381752,1718603652034412508,6096,44656
1718603652133071564,1718603652135412508,5722,41723
1718603652234314003,1718603652236412508,5153,38681
1718603652437243269,1718603652438412508,4935,37822
1718603652538150485,1718603652539412508,4933,37838
1718603652638615801,1718603652640412508,4931,37829
1718603652739929482,1718603652741412508,4588,36734
1718603652841379922,1718603652842412508,3990,35262
1718603652942702359,1718603652943412508,3527,34320
1718603653042576567,1718603653044412508,3456,34171
1718603653143570449,1718603653145412508,3455,34173
1718603653245429945,1718603653246412508,3456,34178
1718603653346504670,1718603653347412508,3455,34181
1718603653552136474,1718603653549412508,2482,32261
1718603653649369388,1718603653650412508,2293,31893
1718603653749621050,1718603653751412508,2294,31891
1718603653850555988,1718603653852412508,2297,31891
1718603653951643384,1718603653953412508,2295,31894
1718603654052633436,1718603654054412508,2228,31752
1718603654154413967,1718603654155412508,1627,30638
1718603654255338850,1718603654255815841,1125,29696
1718603654355697763,1718603654356815841,956,29356
1718603654457290707,1718603654457815841,954,29357
1718603654666578692,1718603654659815841,957,29354
1718603654760016230,1718603654760815841,685,28740
1718603654861587227,1718603654861815841,143,27241
1718603654961487948,1718603654962815841,16230,26150
1718603655062630411,1718603655063815841,16228,26150
1718603655164034994,1718603655164815841,16227,26176
1718603655265293087,1718603655265815841,16226,26155
1718603655366334467,1718603655366815841,16226,26145
1718603655466481502,1718603655467815841,15777,23951
1718603655568286301,1718603655568815841,15318,20813
1718603655669296569,1718603655669815841,15103,18993
1718603655876443957,1718603655871815841,15063,18666
1718603655971593370,1718603655972815841,15063,18667
1718603656073445556,1718603656073815841,15052,18567
1718603656174395957,1718603656174815841,14547,13914
1718603656275316035,1718603656275815841,14007,9522
1718603656375417473,1718603656376815841,13788,8205
1718603656477212331,1718603656477815841,13788,8219
1718603656578454553,1718603656578815841,13790,8209
1718603656678223492,1718603656679815841,13788,8221
1718603656779601310,1718603656781779863,13588,7138
1718603656987457895,1718603656983779863,12750,4100
1718603657082551468,1718603657084779863,12731,4038
1718603657184194741,1718603657185779863,12729,4045
1718603657285259588,1718603657286779863,12732,4036
1718603657386924289,1718603657387779863,12732,4049
1718603657487624833,1718603657488779863,12464,3393
1718603657588172302,1718603657589779863,11937,2304
1718603657688771376,1718603657690779863,11631,1716
1718603657790387145,1718603657791779863,11606,1668
1718603657890531344,1718603657892779863,11605,1671
1718603657991429440,1718603657993779863,11606,1671
1718603658194100108,1718603658195779863,11358,1202
1718603658294641963,1718603658296779863,10938,394
1718603658396029950,1718603658397779863,10661,65357
1718603658496883792,1718603658498779863,10614,65237
1718603658598249340,1718603658599779863,10613,65254
1718603658698726738,1718603658700779863,10612,65255
1718603658799817612,1718603658801779863,10613,65264
1718603658901568842,1718603658902779863,10436,64886
1718603659002534037,1718603659003779863,9951,63911
1718603659102712553,1718603659104779863,9727,63441
1718603659309870052,1718603659305927373,9634,63267
1718603659407006191,1718603659406927373,9634,63276
1718603659506824792,1718603659507927373,9632,63279
1718603659608086729,1718603659608927373,9434,62881
1718603659708135941,1718603659709927373,8863,61652
1718603659809586707,1718603659810927373,8506,60747
1718603659911682170,1718603659911927373,8488,60681
1718603660012146026,1718603660012927373,8489,60678
1718603660112547827,1718603660113927373,8490,60696
1718603660214533075,1718603660214927373,8487,60687
1718603660315411851,1718603660315927373,8138,59589
1718603660516494989,1718603660517927373,7528,56882
1718603660618719333,1718603660618927373,7525,56878
1718603660719345137,1718603660719927373,7528,56890
1718603660819749784,1718603660820927373,7526,56909
1718603660921366273,1718603660921927373,7130,54293
1718603661022515472,1718603661022927373,6396,47458
1718603661122729248,1718603661123927373,5989,43705
1718603661224004276,1718603661224927373,5955,43437
1718603661325127806,1718603661325927373,5950,43447
1718603661425532307,1718603661426927373,5952,43417
1718603661527507610,1718603661527927373,5953,43422
1718603661728664909,1718603661729927373,5049,38244
1718603661830621062,1718603661833778001,4695,37050
1718603661930738248,1718603661934778001,4673,36990
1718603662031893483,1718603662035778001,4668,36990
1718603662132338904,1718603662136778001,4669,36980
1718603662234391911,1718603662237778001,4653,36921
1718603662335702718,1718603662338778001,4094,35496
1718603662435644228,1718603662439778001,3555,34377
1718603662537671114,1718603662540778001,3285,33856
1718603662638096757,1718603662641778001,3290,33862
1718603662840070006,1718603662843778001,3281,33847
1718603662941233706,1718603662944778001,2875,33049
1718603663042464546,1718603663045778001,2353,32000
1718603663142649056,1718603663146778001,2106,31530
1718603663244289533,1718603663247778001,2104,31528
1718603663345514903,1718603663348778001,2106,31519
1718603663447163424,1718603663449778001,2103,31535
1718603663547978743,1718603663550778001,1882,31108
1718603663647924821,1718603663651778001,1337,30107
1718603663749273526,1718603663752778001,889,29205
1718603663957191005,1718603663954778001,798,29003
1718603664052074478,1718603664055778001,800,29018
1718603664152735118,1718603664156778001,797,29010
1718603664254257889,1718603664257778001,433,28097
1718603664354790241,1718603664356084205,16237,26184
1718603664455986998,1718603664457084205,15973,25016
1718603664557393114,1718603664558084205,15975,25012
1718603664659015014,1718603664659084205,15970,25000
1718603664758552386,1718603664760084205,15974,25003
1718603664859862558,1718603664861084205,15840,24312
1718603664961197287,1718603664962084205,15279,20511
1718603665162969715,1718603665164084205,14587,14268
1718603665264772977,1718603665265084205,14588,14269
1718603665365356281,1718603665366084205,14587,14279
1718603665466588816,1718603665467084205,14588,14245
1718603665566681772,1718603665568084205,14393,12507
1718603665667730720,1718603665669084205,13876,8729
1718603665769494148,1718603665770084205,13396,6257
1718603665870990712,1718603665871084205,13376,6154
1718603665970724720,1718603665972084205,13374,6155
